"Extension","Description","Category","Format","Programming Language","Program Support"
".cfx","A CFX file is a data file used by FLOWCAL, a gas and liquid measurement application. It contains gas and liquid electronic flow measurement (EFM) data for importing into the FLOWCAL system. CFX files are used for generating flow information, meter configuration, and analysis by the FLOWCAL software.","Data Files","Binary","Not Found","FLOWCAL Enterprise"
".chat","Configuration file used by IRC clients such as mIRC; includes the necessary settings for opening an IRC channel; can includes the server, port, channel name, and a password.","Web Files","N/A","Not Found","mIRC, Visual IRC, XChat, Snak, Colloquy"
".cmp","Settings file created using Connection Manager, a suite of software components that enables system administrators to setup Windows remote connection profiles; saves information such as the username, password, and the phone number to dial.","Settings Files","N/A","Not Found","Microsoft Connection Manager Administration Kit, HotDocs, Siemens Solid Edge, General CADD Pro, Generic CADD"
".cnt","A CNT file is a help file used by Windows and Windows applications. It stores topics for a Help document (.HLP file) in a plain text format. CNT files are commonly installed with applications that use Microsoft Help as their help documentation format.","System Files","Text","Not Found","Microsoft HTML Help Workshop — Discontinued, Can be opened by renaming to use the extension of the cached file"
".contact","Contact file created by Windows Contacts, a built-in contact management program included with Windows Vista and Windows 7; contains information about a person or organization, including name, picture, email address, phone number, home and work addresses, professional titles, and family members; located in the Windows ""Contacts"" folder for each Windows user.","Data Files","Binary","Not Found","Microsoft Windows Contacts, Microsoft Windows Live Mail"
".crx","A CRX file is an extension that adds extra features or themes to the Google Chrome web browser. It is saved in a compressed format and may contain .JS, .JSON, and other files, such as images and executable programs. CRX files are used for installing browser addons such as games, ad blockers, and news readers.","Plugin Files","Zip","Not Found","Google Chrome, Microsoft Edge, Chromium, 7-Zip"
".csr","A CSR file is a file created as a signing request for a digital certificate. It contains an encrypted block of text that identifies the applicant of the certificate and includes encrypted data for country, state, organization, domain, email address, and public key. The file is used by a Certificate Authority to establish proof of identity for Web sites.","Web Files","Text","Not Found","Microsoft IIS, OpenSSL"
".hwp","An HWP file is a text document written in Hangul, the alphabet of the Korean language. You can open it using any text editor, but you may have to install an Asian font pack to view the file's contents correctly.","Text Files","Text","Not Found","Any text editor, IMSI TurboPDF, Hanword HWP document converter for Microsoft Word, Planamesa NeoOffice, Polaris Office Web Hangul, Hancom ThinkfreeOffice Viewer"
".ctp","Template file used by CakePHP, a development framework for PHP Web applications; contains the PHP ""view"" code within the Model-View-Controller (MVC) software architecture design pattern; stores a template for how information is displayed in the Web application.","Developer Files","Text","PHP","Cake Software CakePHP, Adobe Dreamweaver 2020, Reallusion CrazyTalk"
".iml","An IML file is a module settings file created by IntelliJ IDEA, an Integrated Development Environment (IDE) used to develop Java applications. It stores information about a development module, which is a Java, Plugin, Android, or Maven component of a Java application. IML files store a module’s type, paths, dependencies, and other settings.","Developer Files","XML","XML","Jetbrains IntelliJ IDEA, Google Android Studio, Any text editor, Swiftpage Act!"
".d64","Disk image saved from a Commodore 64 disk; Commodore 64, or C64, was a popular personal computer in the 1980s","Disk Image Files","N/A","Not Found","WinVICE, CCS64, Hoxs64, DirMaster, VICE, C64 online emulator, Joerg Jahnke Mobile C64"
".dal","DVD authoring project created with DVD-lab or DVD-lab PRO; contains project settings and references to media files that are included in the project; can be burned to a DVD disc when completed.","Data Files","N/A","Not Found","MediaChance DVD-lab, MediaChance DVD-lab PRO, SpeedBit Download Accelerator Plus (DAP)"
".inl","Source code file used by Microsoft C++ compilers; contains inline functions that can be included into C++ programs; used for storing reusable program components.","Developer Files","Text","C++","Microsoft Visual Studio 2019"
".inv","File created by INVedit, a program used to create and modify inventories for the game Minecraft; contains game inventory item information, such as resources, weapons, mining tools, and other equipment; also stores quantities of each inventory item.","Game Files","Binary","Not Found","INVedit, MCEdit"
".dbml","XML file created by Microsoft's Object Relational (OR) Designer, which is included with Visual Studio and other Microsoft database software development tools; contains ""LINQ to SQL"" (Language-Integrated Query to Structured Query Language) entity classes that map to objects within a database.","Developer Files","XML","Not Found","Microsoft SQL Server 2019, Microsoft Visual Studio 2019"
".dcf","Standard data sharing format used by PriMus-DCF, a program for creating and publishing price lists, estimates, and bills of quantities; contains all the necessary data in a single compressed file.","Data Files","N/A","Not Found","ACCA Software PriMus-DCF, Sony Ericsson DRM Packager — Discontinued, Sony Memory Card File Rescue, Disk Copy Fast, Disk Copy Plus, Safetica Free, Dyalog, Microsoft Notepad, Github Atom, Microsoft Visual Studio Code, Any text editor, Apple TextEdit, Vim"
".jps","A JPS file is a stereoscopic JPEG image used for creating 3D effects from 2D images. It contains two static images, one for the left eye and one for the right eye that are encoded as two side-by-side images in a single .JPG file.","Raster Image Files","Binary","Not Found","NVIDIA 3D Vision Photo Viewer — Discontinued, StereoPhoto Maker, Adobe Photoshop 2021, 3DFantastic 3D Stereo Producer, XnViewMP, StereoPhotoView, sView, Akeeba eXtract Wizard"
".key","A KEY file is a generic file extension used by various programs when registering legal copies of the software. It may be saved in a plain text format but generally contains some form of encrypted key string that authenticates the purchase and registers the software.","Misc Files","N/A","Not Found","Used by various programs, NewTek LightWave 3D, Various programs that save registration information, Apple Keynote, Apple Preview, Apple iCloud, Software Entire Connection, Programs that support custom keyboard shortcuts, Microsoft Notepad, GitHub Atom, GNU Emacs, Any text editor, Apple TextEdit, Vim, Google Chrome Text"
".kit","File created by CodeKit, a HTML based programming language application; contains HTML with special comments to add imports and variables; compiled by CodeKit into a .HTML file.","Web Files","Text","Kit","CodeKit, Adobe Edge Code CC — Discontinued, 20-20 Technologies 2020 Design Live, Native Instruments Battery"
".nz","Compressed archive format created by NanoZip, an experimental file archiver for Windows and Linux; provides lossless compression.","Compressed Files","N/A","Not Found","NanoZip, BulkZip"
".lang","A LANG file is a game resource file used by Minecraft, an open-ended game that allows players to create and explore 3D worlds. It saves a list of key-value string pairs that map game menus, achievements, and other game objects to names in a given language. LANG files are used for localization.","Game Files","Text","Not Found","Mojang Minecraft, Any text editor, Microsoft Skype, GTK"
".dig","A DIG file is a data file used by select versions of Digilink radio broadcast automation software. It may contain various information in text format, such as schedules, system passwords, clock settings, and activity logs.","Data Files","Text","Not Found","Digilink 2, Digilink 3, Any text editor, FMJ-Software Awave Audio, MAGIX Sound Forge Pro 14, Digidesign Sound Designer"
".ltr","An LTR file is a letter file used by various document authoring programs such as IBM Lotus Forms. It contains a message or other type of correspondence. LTR files are stored in plain text, which means they can be opened by any text editor.","Text Files","N/A","Not Found","Any text editor"
".dist","Script that customizes the installation of a Mac OS X software program; derived from the NeXTSTEP operating system; created with PackageMaker but used by the Mac OS X Installer program.","Compressed Files","Text","Not Found","Apple Installer, MacroMates TextMate"
".lzh","An LZH file is an archive compressed using Lempel-Ziv and Haruyasu (LZH) compression algorithm. It contains one or more files that have been compressed to reduce their file size for the purpose of saving storage space and transporting them to another location. LZH archives are similar to LHARC compressed archive (.LHA) archives.","Compressed Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Corel WinZip, Smith Micro StuffIt Deluxe, RARLAB WinRAR, ConeXware PowerArchiver, Whirling Dervishes Alpha ZIP, PeaZip, 7-Zip, Corel WinZip Mac, Smith Micro StuffIt Deluxe Mac 16, Incredible Bee Archiver, MacLHA, The Unarchiver, lha"
".dm","File (often audio) that has been encoded with DRM (Digital Rights Management) copy-protection; used by some cell phones for ringtones and other media clips, but can also be used for digitally signed mobile applications; can only be opened using an authorized cell phone.","Audio Files","N/A","DM","Sony Ericsson DRM Packager — Discontinued, SISContents, LG Gallery app, BYOND, Any text editor"
".m4a","An M4A file is an audio file saved in the MPEG-4 format and encoded with either the Advanced Audio Coding (AAC) codec or the Apple Lossless Audio Codec (ALAC). It may store various types of audio content, such as songs, podcasts, and audiobooks.","Audio Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Apple iTunes, Microsoft Windows Media Player, Adobe Audition CC 2021, Nullsoft Winamp, Media Player Classic, VideoLAN VLC media player, Apple QuickTime Player, Eltima Elmedia Player, VideoLAN VLC for Mobile, File Viewer for Android, Videolabs VLC for Android"
".dms","A DMS file is a compressed Amiga disk image created using Amiga's Disk Masher System (DMS). It contains data intended for use with an Amiga computer. DMS files were originally used to transfer data among Amiga users via physical floppy disks, but are now most often used to share Amiga games, programs, and other files online, for use with Amiga emulators such as Amiga Forever.","Disk Image Files","Binary","Not Found","Cloanto Amiga Forever, WinFellow, WinUAE, The Unarchiver, MaxUAE, BYOND, Rename the .dms extension and open it with the appropriate program"
".md5","An MD5 file is a checksum file used to verify the integrity of a disc, disk image, or a downloaded file. It stores a checksum, which is a value created from an algorithm based on the number of bits in the file. MD5 files are sometimes generated when a disk image is created.","Misc Files","N/A","Not Found","Smart Projects IsoBuster, StorageCraft ShadowProtect, FlashPlayerPro.com MD5 Checksum Verifier, SlavaSoft FSUM, Md5Checker, MD5summer, checkSum+"
".met","File used by eMule, a peer-to-peer online file sharing program; contains links to download resources and their servers; may store ed2k (eDonkey Network) server addresses, filenames, file sizes, hash sets, and statistics.","Data Files","Binary","Not Found","eMule, eMule Xtreme, aMule, CorelDRAW Graphics Suite 2021, Canvas X, OpenOffice Impress, Planamesa NeoOffice"
".dws","Drawing verification file used by AutoCAD, a 3D design and engineering CAD application; contains properties that must be conformed to in another drawing; used for defining drawing standards and for detecting violations during the checking process; can be used to specify standards for layer properties, dimension styles, linetypes, and text styles.","CAD Files","Binary","Not Found","Autodesk AutoCAD 2022, Adobe Dreamweaver 2020, Dyalog"
".exp","Developer file used by various software development IDEs and compilers; stores symbol table data, which is information about a program's data and functions; used for linking program information to another program, such as a debugger.","Developer Files","Text","Not Found","Microsoft Visual Studio 2019, Freescale CodeWarrior Development Tools, Apple Xcode, Wilcom Hatch Embroidery Digitizer, Intuit QuickBooks Pro, Intuit QuickBooks for Mac, Dassault Systemes CATIA, Adobe Acrobat DC, Okino Computer Graphics PolyTrans, SonicWALL SonicOS, Trend Communications Aurora Expert, Pelco DX Series Export Viewer"
".mobi","A MOBI file is an eBook saved in the MOBI format, a format originally used by the Mobipocket Reader but now supported by several different readers. It contains an eBook and may incorporate DRM copyright protection to prevent copying or unauthorized viewing. MOBI files are supported by various eReaders, tablets, PDAs, and desktop computer applications.","eBook Files","Binary","Not Found","Amazon Kindle for PC, Amazon Kindle Previewer, Calibre, Geometer Plus FBReader, BookDesigner — Discontinued, Cool Reader, MBP reader, Icecream Ebook Reader, Amazon Kindle for Mac, PatiSoftware theLibrarian"
".fb2","An FB2 file is a FictionBook 2.0 file saved in an eBook format developed in Russia. It contains XML that describes each element of the book and is designed primarily for fictional literature. FB2 files can be viewed by various eBook readers for Windows, macOS, and Linux.","eBook Files","Text","Not Found","Calibre, Cool Reader, fb2utils, Haali FictionBook Tools — Discontinued, Haali Reader — Discontinued, Athenaeum, Geometer Plus FBReader, Icecream Ebook Reader, Apache OpenOffice with ooofbtools plug-in, PyBookReader, OrnamentBook, KDE Okular, KyBook"
".n","File compiled by Neko, a compiler for the .NEKO programming language; used to store Neko programs and saves them in a bytecode format that can be run by the Neko virtual machine (VM), which is supported on Mac, Windows, and Linux platforms.","Executable Files","Binary","Nemerle","Neko"
".ffa","Keeps track of the Microsoft Find Fast status; generated by the Find Fast Indexer, which is used by Microsoft Office and Outlook programs.","System Files","N/A","Not Found","Microsoft Office 365, Microsoft Outlook 365"
".nxg","Web page created with eSite Builder NXG, an online Web development environment that provides a WYSIWYG (""What You See Is What You Get"") interface for creating and updating Web pages; typically built from an eSite Builder NXG template.","Web Files","N/A","Not Found","Any Web browser"
".flac","A FLAC file is an audio file compressed in the Free Lossless Audio Codec (FLAC) format, which is an open-source lossless audio compression format. It is similar to an .MP3 file, but is compressed without any loss in quality or loss of any original audio data.","Audio Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Roxio Creator NXT Pro 7, Adobe Audition CC 2021, Audacity, Nullsoft Winamp, VideoLAN VLC media player, MPlayer, Foobar2000, GoldWave, VUPlayer, aTunes, Applian Replay Converter, jetAudio, Roxio Toast 18, Eltima Elmedia Player, MacAmp Lite X — Discontinued, VideoLAN VLC Media Player, VideoLAN VLC for Mobile, File Viewer for Android, Videolabs VLC for Android"
".ods","An ODS file is a spreadsheet created by Calc, a spreadsheet program included in the Apache OpenOffice suite. It stores data in cells that are organized into rows and columns, and it may also contain charts, mathematical functions, and formatting. ODS files are similar to .XLSX files.","Spreadsheet Files","Zip","Not Found","OpenOffice Calc, Microsoft Excel 365, LibreOffice, Calligra Suite, Planamesa NeoOffice, Google Sheets, OpenDocument Reader, Microsoft Excel, Collabora Office, Microsoft Outlook Express — Discontinued"
".fon","A FON file is a Windows 3.x font library file referenced by programs that access system fonts. It contains a number of fonts saved in the .FNT file format. FON files are now obsolete.","Font Files","Binary","Not Found","Microsoft Windows Font Viewer, Cannot be opened"
".ori","Often added to a file that already has an extension; may be appended to the filename, i.e. ""page1.html"" may become ""page1.html.ori;"" often used to differentiate between original and backup (.BAK) files.","Backup Files","N/A","Not Found","Open with the program that created the file"
".pho","File created by printed circuit board (PCB) design applications; contains a photoplot, which is a generated image of a PCB design that can be used in the process of manufacturing PCBs; often generated from a .GBR file and can be viewed in several Gerber compatible applications.","CAD Files","Binary","Not Found","PentaLogix ViewMate, GraphiCode GC-Prevue, Altium Designer, Artwork Conversion GBR2DXF, MBROLA"
".fp7","Database file created by FileMaker Pro versions 7-11; stores data using tables and records with each record containing one or more fields; can also include forms, charts, and other database objects; used for organizing personal and company data.","Database Files","Binary","Not Found","FileMaker Pro Advanced"
".ft","File used by Edgecam, a Computer-Aided Manufacturing (CAM) program used for designing manufacturing parts and generating Numerical Control (NC) code to machine them; contains geometric information in an XML format describing a range of similar machinable features and their common attributes.","Settings Files","Binary","Not Found","Planit Edgecam"
".pix","PCIDSK file (PCI Geomatics Database File) created by Geomatica, a geomatics program used for processing and analyzing geographic images; contains spatial information split across multiple image channels; often used for storing small to very large geospatial data sets, such as satellite images.","GIS Files","Binary","Not Found","PCI Geomatics Geomatica, ESRI ArcGIS Pro, Safe Software FME Desktop, GDAL, BRL-CAD, Canvas X, ACD Systems ACDSee Photo Studio, CorelDRAW Graphics Suite 2021, GIMP, File Viewer Plus, FFmpeg, Tom's Editor"
".ftl","An FTL file is a template used by FreeMarker, a Java template engine used to auto-generate text output. It contains source text as well as FreeMarker variable definitions and instructions that are used as placeholders for text substitutions. FTL files are commonly used for auto-generating HTML webpages, .JAVA class skeleton files, and other source code files, such as .PHP, .ASP, and .CFM files.","Developer Files","Text","FreeMarker","FreeMarker, Grognak's Mod Manager, Pearl Street Family Tree Legends, Fluent, Microsoft Visual Studio Code, GitHub Atom, Any text editor, MacroMates TextMate, Vim"
".pls","A PLS file contains a playlist, which is a list of multimedia files that can be played back with a media player. It stores references to the locations of the multimedia files, along with metadata about the items on the list. PLS files do not store actual audio and video data, only information in plain text about the audio and video files.","Misc Files","Text","PLSQL","Apple iTunes, RealNetworks RealPlayer 20/20, Nullsoft Winamp, Roxio Creator NXT Pro 7, Voyetra AudioStation, CyberLink PowerDVD 20, VideoLAN VLC media player, Clementine, RealNetworks RealTimes: Video Maker, RealNetworks RealTimes Video Maker, MYOB Technology AccountRight, MYOB Technology AccountEdge, Oracle Database, Pico Technology PicoLog"
".gb","Read-only memory (ROM) file containing Game Boy game data; contains an exact copy of the data from a Nintendo Game Boy cartridge; can be played on a Mac or PC using Game Boy emulation software.","Game Files","N/A","Not Found","VisualBoyAdvance, Basic Boy, BGB, TGB Dual, KiGB, gnuboy, Boycott Advance, Heracle BioSoft DNA Baser, Genome Compiler"
".prc","File created in the Product Representation Compact (PRC) format, which is used to represent 3D models and assemblies; contains product structure, geometry, and product manufacturing information (PMI); stores data in a highly compressed format.","3D Image Files","Binary","SQL","Adobe Acrobat DC, Amazon Kindle for PC, Geometer Plus FBReader, BookDesigner — Discontinued, Cool Reader, MBP reader, Amazon Kindle for Mac, Palm Desktop, Corel Presentations 2020, paracobNET, Smash Ultimate Tools"
".gsp","File sent by IMail Server, an email server program used by small to medium-sized businesses; contains an error message or flag indicating a problem with the email delivery; typically generated by the mail server postmaster.","Web Files","N/A","Groovy Server Pages","Ipswitch IMail Server, Opens in Silhouette CAMEO cutting tool, Key Curriculum Press Geometer's Sketchpad, OCI Grails, Eclipse, Sublime Text, Jetbrains IntelliJ IDEA, Any text editor, MacroMates TextMate"
".properties","A PROPERTIES file is a settings file used by Minecraft, a sandbox block construction game. It is saved in plain text and stores configuration information for the game. PROPERTIES files may be used for configuring a Minecraft multiplayer server or a game mod.","Game Files","Text","INI","Mojang Minecraft, Microsoft Notepad, Other text editor, Apple TextEdit, GNU Emacs, Vim, Eclipse IDE for Java Developers, gVim, MacroMates TextMate, MacVim, File Viewer for Android"
".tk","Script written in the Tool Command Language; similar to a .TCL file, but run through Wish","Developer Files","N/A","Not Found","Wish, Tclsh"
".req","A REQ file is a file used in the process of setting up a digital certificate. It stores a Certificate Signing Request (CSR), which includes information that uniquely identifies the initiator of the request. REQ files are sent to trusted entities (certificate authorities) who use the requests to generate valid digital certificates for the requesters.","Misc Files","N/A","Not Found","Microsoft Exchange Server, OpenSSL, Microsoft Notepad"
".ha","File or group of files compressed using HA compression, and older file compression algorithm; not commonly used, but supported by various third-party file decompression utilities.","Compressed Files","Binary","Not Found","RARLAB WinRAR, ESTsoft ALZip, IZArc, IZip, PowerZip"
".safe","A SAFE file is an encrypted file created by SIGLock, a file encryption application for Windows used to securely store and transfer files. It contains an encrypted version of a file, such as a .PDF or .XLSX file, that can only be decrypted by the SIGLock program. SAFE files also contain locking and unlocking data such as which users can open the file, where they can open it, and when they can open it.","Encoded Files","Binary","Not Found","Sigza SIGLock — Discontinued"
".sbk","Backup of a SWiSH Project (.SWI) file, a custom Flash animation format; created automatically by the SWiSH authoring program in case the original project file is lost or corrupted.","Video Files","N/A","Not Found","SWiSHzone.com SWiSH Max, Asymetrix Multimedia Toolbook, E-MU Systems SoundFont, FMJ-Software Awave Studio, Nova Development Scrapbook Factory Deluxe — Discontinued"
".sec","Contains ASCII armored private keys used for decrypting PGP (Pretty Good Privacy) encrypted files","Misc Files","N/A","Not Found","PGP Desktop Home or other compatible PGP application, Samsung SmartViewer, FFmpeg, Microsoft Windows with USB connection"
".seo","Notes file created with SEO Note, a freeware personal and business information management program; allows data to be stored in text, rich text, or HTML formats and may include multiple documents in a single file.","Data Files","N/A","Not Found","SEO Note"
".settings","Customized settings file created by Visual Studio, a Windows software development tool created by Microsoft; contains properties for projects and programs that can be accessed in C# program code using the Properties.Settings.* API; used for storing settings that need to be frequently-accessed.","Settings Files","Text","Not Found","Microsoft Visual Studio 2019, Mojang Minecraft with iConomy plug-in"
".show","A SHOW file is a document created by Show, an application used to create presentations that is included with the Thinkfree Office NEO suite. It contains a collection of slides, which includes text, shapes, images, themes, and formatting. SHOW files can be used in various personal and professional contexts such as picture slide shows and business meetings.","Data Files","Binary","Not Found","Hancom Thinkfree Office NEO Show — Discontinued, Hancom ThinkfreeOffice Viewer"
".htpasswd","File used to create and update the flat-files used to store usernames and password for basic authentication of HTTP users; encrypts passwords using either a version of MD5 modified for Apache HTTP server, or the system's own crypt routine.","Encoded Files","N/A","Not Found","Apache HTTP Server"
".so","An SO file is a shared library used by programs installed on the Linux and Android operating systems. It contains common program functions and logic that multiple programs require access to. SO files allow programs to access common functions from one shared place in a computer's system memory, rather than implementing their own versions of the functions. This streamlines the programs' structure as well as their interaction with users' operating systems.","Developer Files","Binary","Not Found",""
".sph","An SPH file is a waveform audio file created in the NIST SPHERE format, which is often used in speech recognition research. It usually contains a recording of a person speaking. SPH files can be provided as input to speech recognition systems.","Audio Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, VideoLAN VLC media player, SoX, FFmpeg, MikuMikuDance"
".idf","Defines the parameters for a specific MIDI instrument, such as a MIDI keyboard or other MIDI controller; provides an instrument ID, patch names (voices), a key map, channel assignments, and other information.","Settings Files","N/A","Not Found","Windows IDF Editor, Any text editor"
".story","Document created by Storyist, a story writing tool created for novelists and screenwriters; saves written text as well as layout information, notes, and chapter outline information; helps authors track the plot, characters, and setting information along with the script.","Text Files","Binary","Not Found","Storyist"
".swd","Information file created during the debugging process of a Flash program; allows the Flash debugger to display the current place of execution directly in the ActionScript sources instead of the program bytecode.","Developer Files","N/A","Not Found","Adobe Flash Professional CC — Discontinued"
".imp","Native spreadsheet file created by the Lotus Improv application; divides data, views of the data, and formulas into three segments, which is different than most spreadsheet applications and makes it difficult to transfer to more common applications like Excel.","Spreadsheet Files","Binary","Not Found","Lotus Improv — Discontinued, Logotron Imagine, Adobe Audition CC 2021"
".sys","An SYS file is a system file used by Microsoft DOS and Windows operating systems. It contains system settings and variables, and functions that are used to run the operating system. SYS files are commonly used to store device drivers and other core Windows functions.","System Files","Text and Binary","Not Found","Microsoft Windows, Parallels Desktop for Mac with Windows installed, Used by the operating system"
".in","An IN file is a generic file used by some spyware programs to track activity on a computer. If you cannot verify an IN file's legitimacy or source, you should check it with an anti-spyware program.","Misc Files","N/A","Not Found","Should not be opened, CFAST, Other text editor, Notepad++, GitHub Atom, Any text editor, Apple Xcode"
".tex","A TEX file is a source document prepared by LaTeX, a high-quality typesetting system. It may include text, symbols, mathematical expressions, and graphics. TEX files are commonly used in computer science, electrical engineering, statistics, economics, and physics for typesetting articles, books, and other publications.","Text Files","Text","TeX","File Viewer Plus, TeXworks, BaKoMa TeX, TeXnicCenter, Texmaker, LaTeX Editor, proTeXt, gVim, MiKTeX, Any text editor, LyX/Mac, TeXShop, Skim, MacVim, Capcom Dead Rising 2, Gibbed's DeadRising2 Tools, Croteam Serious Sam, Hover"
".indt","An INDT file is a page layout template for designing pages in Adobe InDesign, a desktop publishing program. It is typically used when creating multiple pages that have a similar format. INDT files may be included with the InDesign software or created by the user.","Page Layout Files","N/A","Not Found","Adobe InDesign 2020, QuarkXpress with ID2Q XTension"
".tga","A TGA file is an image saved in the Targa raster graphic format designed by Truevision. It supports 8, 16, 24, or 32 bits per pixel at a maximum of 24 bits for RGB colors and an 8-bit alpha channel. TGA files are used for various types of images, such as digital photos and textures referenced by 3D video games.","Raster Image Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, Adobe Illustrator 2021, Canvas X, ACD Systems ACDSee Photo Studio, Corel PaintShop Pro, Corel Painter 2021, Serif Affinity Photo, dotPDN paint.net, GIMP, Apple Preview, Apple Photos, Snap Converter, File Viewer for Android"
".thm","A THM file is a theme file used by Sony Ericsson mobile phones. It stores settings used to customize the user interface of the cell phone and includes custom window and text colors, icons, wallpaper, and other images. THM files can be created and edited using the free Themes Creator from Sony Ericsson, which is no longer developed.","Misc Files","N/A","Not Found","Sony Ericsson Themes Creator, Microsoft Windows Photo Viewer, Microsoft Paint, Adobe Photoshop 2021, Sony Picture Motion Browser, Other picture viewer, Apple Preview, Thermwood Mastercam, Microsoft Photos, ACD Systems ACDSee Photo Studio, Other image viewer"
".ipl","Game file used by some Grand Theft Auto (GTA) games such as GTA III and GTA: Vice City; saves item placement information within a map and may include objects, spawn points, weapon locations, and custom zone information; saved in a text format and can be edited with a text editor.","Game Files","Text","Not Found","Rockstar Games Grand Theft Auto 3, Rockstar Games Grand Theft Auto: Vice City"
".tlp","File created by Tulip, an information visualization and analysis tool; contains graph definitions, such as the version of the format, the date, author name, and definitions of nodes, edges, clusters, and other properties.","Data Files","Text","Not Found","Tulip"
".job","Nest job file created by MetaCAM, a CAD program used to increase efficiency in industry and manufacturing; contains nest job settings and instructions; used to store information that optimizes the use of materials and space for manufactured products.","CAD Files","Binary","Not Found","Metamation MetaCAM Nesting, Microsoft Windows Task Scheduler"
".tsv","A TSV file is a tab-separated values file commonly used by spreadsheet applications to exchange data between databases. It stores a data table in which each record in the table is on a separate line, and data columns are separated by tabs.","Data Files","Text","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Excel 365, OpenOffice Calc, LibreOffice, Microsoft Notepad, Any text editor, MacroMates TextMate, Google Sheets, The AppGuru TSV File Viewer, Supported by the digital receiver that created the TSV file, Codec Guide K-Lite Codec Pack, VideoLAN VLC media player, Media Player Classic, Aiseesoft Free Video Converter"
".utf8","Text document that uses Unicode UTF-8 (8-bit Unicode Transformation Format) encoding; can be used for English and many other languages, including support for Asian characters; backwards compatible with ASCII.","Text Files","Text","Not Found","Microsoft Notepad, Microsoft Wordpad, Microsoft Word 365, gVim, Other text editor, Apple TextEdit, MacroMates TextMate, MacVim, Vim, GNU Emacs"
".jpf","A JPF file is an image saved in the JPEG 2000 (JP2) format, which is a successor to the .JPEG image format. It supports image transparency and may incorporate lossy or lossless compression. JPF files are typically used for saving digital photos.","Raster Image Files","Binary","Not Found","Apple QuickTime Player, Adobe Acrobat DC, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, Adobe Illustrator 2021, CorelDRAW Graphics Suite 2021, Corel PaintShop Pro, XnViewMP"
".wbmp","Black and white bitmap image format used by mobile devices such as cell phones and PDAs; can be sent from one phone to another via the SMS messaging protocol; similar to a standard bitmap (.BMP) file, but only supports monochrome (1-bit) image data.","Raster Image Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, Canvas X, ACD Systems ACDSee Photo Studio, Corel PaintShop Pro, Inkscape, File Viewer for Android"
".jsd","File used by Jazer, a personal and professional financial management program for Windows; saved in a binary format and contains the user's financial data; replaced by the .JSDA format in later Jazer software versions.","Data Files","Binary","Not Found","Jazer, HP JetSuite Pro"
".wp","Word processing document created by Corel WordPerfect, a popular word processor for Windows; may contain text, images, forms, and other data.","Text Files","N/A","Not Found","Corel WordPerfect 2020, Planamesa NeoOffice"
".jtp","Template created by Windows Journal, a program used for note-taking on tablet PCs; contains default text, images, and page layout settings; used to create notes pages (.JNT files) with the same look and feel, such as to-do lists or agendas.","Page Layout Files","Binary","Not Found","Microsoft Windows Journal"
".wps","A WPS file is a document created with Microsoft Works Word Processor, a word-processing application included with the Microsoft Works productivity suite. It contains document elements similar to a Microsoft Word (.DOC) document but does not support advanced formatting options and macros that a Word document may contain.","Text Files","Binary","Not Found","File Viewer Plus, Microsoft Works, Microsoft Office with Microsoft Works 6–9 File Converter, NCH Doxillion, LibreOffice, Planamesa NeoOffice, OxygenOffice Professional, Kingsoft WPS Office, Kingsoft WPS Office for iOS, Kingsoft WPS Office for Android, SDL Translator's Workbench"
".wri","A WRI file is a text document created with Microsoft Write, a basic word processor that came with early versions of Windows through Windows 3.1. It may contain styled text and page formatting information.","Text Files","Binary","Not Found","Corel WordPerfect 2020, Rising Sun Solutions Atlantis Word Processor, LibreOffice, Planamesa NeoOffice"
".ks","File used for creating images of Linux-based operating systems such as Red Hat, CentOS, and Tizen; contains a series of instructions that are used for automatic, unattended construction of an operating system (OS) image that can be used for running the OS.","System Files","Text","Not Found","MIC2, Any text editor, Eclipse IDE for Java Developers, Unity Technologies Unity, KeyStore Explorer"
".wsc","Game file used by emulators for the WonderSwan Japanese handheld console system, which is similar to the Game Boy Color; contains a game ROM, which stores the same information as the original game cartridge; can be used to play games on the PC with emulation software such as Oswan or Cygne.","Game Files","Binary","Not Found","Oswan, Cygne, OpenEmu, Microsoft Visual Studio 2019, Microsoft Notepad, Other text editor"
".xsp","Song or video playlist used by Kodi, a free software multimedia player; may contain a list of specific audio and video files to play, or may store criteria for the types of media to play (e.g., play Rock music or all 90s music); can specify songs, albums, movies, TV shows, and other types of media.","Audio Files","XML","Not Found","Kodi, Any text editor"
